Timestamp,Name of Food Retailer,Address,Date Assessed,Type of Store,What type of Specialty Food Store?,EBT Accepted?,Number of Locations (chain?),Median Price of a Dozen Eggs,Median Price of a Loaf of Bread,Median Price of a Gallon of Milk,Milk Standardized_Gallon,Median Price of Oranges,Orange Standardized_lbs,Median Price of Organic Oranges,Organic Oranges Standardized_lbs,Median Price of Avocados,Standardized Avocado_each,Median Price of Organic Avocados,Standardized Organic Avocado_each,Median Price of Carrots,Standardized Carrots_lbs,Median Price of Organic Carrots,Standardized Organic Carrots_lbs,Median Price of Broccoli,Standardized Brocolli_lbs,Median Price of Organic Broccoli,Standardized Organic Brocolli_lbs,Is there signage in other languages than English?,"If so, what languages?",Access Notes,Is there fresh produce available?,What percentage of the store is produce?,Is there organic produce available?,Is there local produce available?,How many types of fresh produce are available?,Is there an ethnic section?,Are there options besides national name brand ethnic foods? ,What ethnic food nationalities are available?,Selection Notes,Is there signage or visible documentation of environmental work or actions?,"If so, what kind of environmental work?",Is there signage or visible documentation of social justice work or actions?,"If so, what kind of social justice work?",General Notes,,lon,lat,address
1/28/2022 11:07,23rd & Guerrero Liquor Store,"3558 23rd St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,4.79,,3.79 (half),7.58,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,No,,,,-122.4228752,37.7536892,"3558 23rd st, san francisco, ca 94110, usa"
1/28/2022 11:09,Guerrero Hill Market,"3398 22nd St #3067, San Francisco, CA 94110",1/26/2022,Convenience Store,,Yes,1,4.99,6.49,6.99 (half),13.98,1.00 (each),2,,,2.50 (each),2.5,,,,,,,,,,,No,,,Yes,<10%,No,Can't tell...,11,No,,,,No,,No,,Clerk knew costumers,,NA,NA,NA
1/28/2022 11:11,F & G Market,"3698 20th St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,,5.99,5.75 (half),11.5,,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,1,No,,,,No,,No,,Clerk knew costumers,,-122.4233427,37.7584754,"3698 20th st, san francisco, ca 94110, usa"
1/28/2022 11:13,Guerrero Market and Deli,"701 Guerrero St, San Francisco, CA 94110",1/26/2022,Convenience Store,,No,1,4.99,,4.50 (half),9,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,No,,Community hangout (looks like),,-122.4234492,37.7598963,"701 guerrero st, san francisco, ca 94110, usa"
1/28/2022 11:15,Dolores Outpost,"698 Guerrero St, San Francisco, CA 94110",1/26/2022,Specialty Food Store,Specialty Alcohols,No,1,,,6.00 (half),12,,,,,,,,,,,,,,,,,Yes,Japanese,,No,0,No,No,0,Yes,Yes,Japanese,,No,,No,,Specializes in alcohol,,-122.4239275,37.7600922,"698 guerrero st, san francisco, ca 94110, usa"
1/28/2022 12:30,Walgreens,"2690 Mission St, San Francisco, CA 94110",1/28/2022,Supermarket,,Yes,"9,021",2.79,3.29,4.69,4.69,,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,1,No,,,,No,,No,,,,-122.4189859,37.7540283,"2690 mission st, san francisco, ca 94110, usa"
1/28/2022 12:43,23rd & Mission Produce,"2700 Mission St, San Francisco, CA 94110",1/28/2022,Grocery Store,,Yes,1,5.99,6.5,7.99,7.99,1.99 (/lb),1.99,,,3.14,3.14,,,.99 (/lb),0.99,,,1.99 (/lb),1.99,,,Yes,Spanish,Spanish speaking; large WE ACCEPT EBT sign,Yes,>50%,Yes,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,"COVID-19 resources (Spanish translation), community health resources (Spanish Translation)",,,-122.4188054,37.7537401,"2700 mission st, san francisco, ca 94110, usa"
1/28/2022 12:48,That’s It Market,"2699 Mission St, San Francisco, CA 94110",1/28/2022,Convenience Store,,No,1,,,,,,,,,,,,,,,,,,,,,Yes,Spanish,Spanish spoken,No,0,No,No,0,No,,,,Yes,Recycling Program,Yes,"Community health signage, COVID-19 resources (Spanish translation)",Mostly alcohol and deli (tortas),,-122.418442,37.7539694,"2699 mission st, san francisco, ca 94110, usa"
1/28/2022 13:01,Casa Maria Produce Market,"1201 S Van Ness Ave, San Francisco, CA 94110",1/28/2022,Grocery Store,,Yes,1,5.04,1.99,4.99,4.99,.99 (/lb),0.99,,,2.24 (each),2.24,,,.99 (/lb),0.99,,,1.99 (/lb),1.99,,,Yes,Spanish,Baguette and rolls as bread options; Spanish spoken,Yes,10-25%,No,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,Yes,Bring own bags signage,Yes,COVID-19 resources (Spanish translation),,,-122.4163055,37.7539139,"1201 s van ness ave, san francisco, ca 94110, usa"
1/28/2022 13:20,Grocery Outlet,"1245 S Van Ness Ave, San Francisco, CA 94110",1/28/2022,Supermarket,,Yes,401,3.5,3.99,3.79,3.79,1.16 (/lb),1.16,,,.55 (each),0.55,,,1.74 (per bag),1.74,,,1.99 (/lb),1.99,,,No,,,Yes,10-25%,Yes,No,50+,Yes,No,Hispanic/Latinx,,Yes,Recycling Program,No,,,,-122.4159773,37.7530915,"1245 s van ness ave, san francisco, ca 94110, usa"
1/28/2022 14:56,Ed & Danny’s Market & Liquor ,"999 S Van Ness Ave, San Francisco, CA 94110",1/28/2022,Convenience Store,,No,1,5.99,5.49,5.99,5.99,,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,2,No,,,,Yes,Recycling Program,No,,,,-122.4163976,37.7573374,"999 s van ness ave, san francisco, ca 94110, usa"
1/28/2022 15:00,Kahnfections,"3321 20th St, San Francisco, CA 94110",1/28/2022,Specialty Food Store,Bakery,No,1,,,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,Pastry bakery (with small baguettes),No,,No,,,,-122.4152417,37.75874,"3321 20th st, san francisco, ca 94110, usa"
1/28/2022 15:27,Joey & Pat’s Bakery & Coffee,"2499 Folsom St, San Francisco, CA 94110",1/28/2022,Specialty Food Store,Bakery,No,1,,,7,7,,,,,,,,,,,,,,,,,Yes,Spanish,Spanish spoken,No,0,No,No,0,Yes,Yes,Hispanic/Latinx,Mexican Bakery Items,No,,No,,All types of Mexican breads and pastries,,-122.414318,37.7574554,"2499 folsom st, san francisco, ca 94110, usa"
1/28/2022 15:33,Isaac’s Market,"2601 Folsom St, San Francisco, CA 94110",1/28/2022,Convenience Store,,No,1,6.49,4.49,5.79 (half),11.58,.65 (each),1.3,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,Can't tell...,1,No,,,,No,,No,,,,-122.4141072,37.7556011,"2601 folsom st, san francisco, ca 94110, usa"
1/31/2022 21:50,24 BART Liquor Store,"3347 24th St, San Francisco, CA 94110",1/31/2022,Convenience Store,,No,1,,,5.99,5.99,None,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,2,No,,,,No,,Yes,COVID-19 resources (Spanish translation),,,-122.4194513,37.7519974,"3347 24th st, san francisco, ca 94110, usa"
2/9/2022 13:16,New Star Market Liquor & Deli,"269 14th St, San Francisco, CA 94103",2/9/2022,Convenience Store,,Yes,1,4.5,,3.75 (half),7.5,None,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,3,No,,,,No,,No,,Also a Deli,,-122.419362,37.7681538,"269 14th st, san francisco, ca 94103, usa"
2/9/2022 13:25,S & M Liquor & Market,"1939 Mission St, San Francisco, CA 94103",2/9/2022,Convenience Store,,Yes,1,3.99,,5.99,5.99,None,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,1,No,,,,No,,Yes,"Local Political Activism, COVID-19 resources",,,-122.419558,37.766098,"1939 mission st, san francisco, ca 94103, usa"
2/9/2022 13:32,Hwa Lei Market,"2970 16th St, San Francisco, CA 94103",2/9/2022,Grocery Store,,Yes,1,3.99,,,,.99 (/lbs),0,,,1.39 (each),1.39,,,.89 (/lbs),0.89,,,1.49 (/lbs),1.49,,,Yes,"Spanish, Chinese",Predominately an ethnic (Chinese/Asian) store,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,"Hispanic/Latinx, Chinese, Southeast Asian",,Yes,Recycling Program,Yes,Chinese information signs (presume community action),Clerk knew costumers; multiple Asian languages spoken,,-122.4191027,37.765326,"2970 16th st, san francisco, ca 94103, usa"
2/9/2022 13:45,Mi Tierra Market,"2023 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.49,,6.79,6.79,.50 (/lbs),0.5,,,1.49 (each),1.49,,,.79 (/lbs),0.79,,,1.99 (/lbs),1.99,,,Yes,Spanish,Spoken Spanish,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,"EBT Resources (Spanish Translation), COVID-19 resources (Spanish translation)",,,-122.4194416,37.7646137,"2023 mission st, san francisco, ca 94110, usa"
2/9/2022 13:53,La Canasta Produce,"2097 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.99,,5.99,5.99,1.75 (/lbs),1.75,,,3.44 (each),3.44,,,.99 (/lbs),0.99,,,1.49 (/lbs),1.49,,,Yes,Spanish,Hispanic Bread Selection,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,Yes,anti-food waste program,Yes,COVID-19 resources (Spanish translation),Spanish spoken,,-122.419362,37.7635746,"2097 mission st, san francisco, ca 94110, usa"
2/9/2022 14:06,Mi Ranchito Market & Produce,"2169 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,2.99,3.99,5.99,5.99,.75 (/lbs),0.75,,,1.99 (each),1.99,,,.79 (/lbs),0.79,,,2.29 (/lbs),2.29,,,Yes,Spanish,Lots of Hispanic Breads,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,No,,,,-122.4191629,37.7623886,"2169 mission st, san francisco, ca 94110, usa"
2/9/2022 14:14,Jasmine Market,"2397 Mission St, San Francisco, CA 94110",2/8/2022,Convenience Store,,No,1,,,,,,,,,,,,,,,,,,,,,No,,Only really sell alcohol and a few other goods,No,0,No,No,0,No,,,,No,,No,,,,-122.4188864,37.758797,"2397 mission st, san francisco, ca 94110, usa"
2/9/2022 14:20,Mike’s Groceries & Liquors,"2499 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,4.49,5.59,6.49,6.49,,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,3,No,,,,No,,No,,,,-122.4187488,37.7571815,"2499 mission st, san francisco, ca 94110, usa"
2/9/2022 14:28,Evergreen Market,"2539 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.49,4.99,5.59,5.59,1.99 (/lbs),1.99,,,1.49 (each),1.49,,,.99 (/lbs),0.99,,,2.99 (/lbs),2.99,,,Yes,Spanish,Lots of Hispanic Bread,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,No,,,,-122.4185214,37.7564239,"2539 mission st, san francisco, ca 94110, usa"
2/9/2022 14:38,Lucky Pork Market,"2659 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,5.49,,5.99,5.99,1.19 (/lbs),1.19,,,1.39 (each),1.39,,,.89 (/lbs),0.89,,,2.39 (/lbs),2.39,,,Yes,Spanish,Lots of Hispanic breads; Spanish spoken,Yes,10-25%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,Yes,"Bring own bags signage, anti-food waste program ",Yes,COVID-19 resources (Spanish translation),,,-122.4183769,37.7545694,"2659 mission st, san francisco, ca 94110, usa"
2/9/2022 14:48,Mi Pueblito Market,"2763 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.99,3.99,5.99,5.99,0.89,0.89,,,1.40 (each),1.4,,,.69 (/lbs),0.69,,,1.99 (/lbs),1.99,,,Yes,Spanish,Lots of Hispanic bread,Yes,25-50%,Maybe,Yes,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),,,-122.4182559,37.7528565,"2763 mission st, san francisco, ca 94110, usa"
2/9/2022 14:55,Golden Market,"2899 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,5.99,,3.00 (half),6,,,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,3,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (multiple translations),,,-122.4181232,37.750812,"2899 mission st, san francisco, ca 94110, usa"
2/9/2022 15:03,Casa Guadalupe,"2909-11 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,2,4.99,4.74,8.99,8.99,.99 (/lbs),0.99,,,1.6,1.6,,,1.29,1.29,1.29,1.29,2.99 (/lbs),2.99,2.99 (/lbs),2.99,Yes,Spanish,Hispanic breads,Yes,25-50%,Yes,Yes,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),,,-122.4180347,37.7504668,"2909-11 mission st, san francisco, ca 94110, usa"
2/9/2022 15:12,Casa Guadalupe Supermarket 3,"2999 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,2,4.99,3.69,6.99,6.99,1.49 (/lbs),1.49,,,1.99 (each),1.99,,,.69 (/lbs),0.69,,,1.99 (/lbs),1.99,,,Yes,Spanish,Hispanic Breads,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),,,-122.4179217,37.7492033,"2999 mission st, san francisco, ca 94110, usa"
2/9/2022 15:18,Stop & Shop Market,"3000 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,4.99,4,6,6,,,,,,,,,,,,,,,,,No,,Arabic Spoken,Yes,<10%,No,No,1,No,,,,No,,No,,,,-122.4183566,37.7488937,"stop and shop market, 3000 mission st, san francisco, ca 94110, usa"
2/9/2022 15:25,Samiramis Imports,"2990 Mission St, San Francisco, CA 94110",2/9/2022,Specialty Food Store,Ethnic Store,Yes,1,4.49,,7.49 (half),14.98,.99 (/lbs),0.99,,,1.49 (each),1.49,,,,,,,,,,,Yes,"Spanish, Arabic",Middle eastern breads,Yes,<10%,Maybe,Can't tell...,30,Yes,Yes,"Arabic, Middle Eastern",,No,,Yes,COVID-19 resources (language translations),Bread and dairy different (naan and yogurt drinks),,-122.4184203,37.7492191,"2990 mission st, san francisco, ca 94110, usa"
2/9/2022 15:36,La Loma Produce,"2840 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,5.39,,6.49,6.49,1.29 (/lbs),1.29,,,1.49,1.49,,,.79 (/lbs),0.79,,,2.99 (/lbs),2.99,,,Yes,Spanish,Hispanic Breads,Yes,10-25%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),Spanish spoken (almost solely),,-122.4185656,37.7514207,"2840 mission st, san francisco, ca 94110, usa"
2/9/2022 16:23,City Discount Market,"2298 Mission St, San Francisco, CA 94110",2/9/2022,Grocery Store,,Yes,1,4.99,4.49,5,5,.99 (/lbs),0.99,,,2.00 (each),2,,,,,1.99 (/lbs),1.99,3.99 (/lbs),3.99,,,Yes,Spanish,,Yes,10-25%,Maybe,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,Hispanic Breads,Yes,anti-food waste program,Yes,Community connection opportunities (in Spanish),,,-122.4195369,37.7603666,"2298 mission st, san francisco, ca 94110, usa"
2/9/2022 16:27,George’s Market,"2268 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,5,,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,Yes,Local Political Activism,,,-122.4195833,37.7607887,"2268 mission st, san francisco, ca 94110, usa"
2/9/2022 16:37,Duc Loi Supermarket,"2200 Mission St, San Francisco, CA 94110",2/9/2022,Supermarket,,Yes,1,4.39,6.49,6.34,6.34,,,1.29 (/lbs),1.29,,,2.99 (each),2.99,,,3.89 (per bunch),3.89,,,4.99 (per bunch),4.99,Yes,Chinese,,Yes,10-25%,Yes,Can't tell...,50+,Yes,Yes,"Hispanic/Latinx, Chinese, Indian, Japanese, Southeast Asian",,No,,Yes,COVID-19 resources (community and general),,,-122.4195756,37.7616816,"2200 mission st, san francisco, ca 94110, usa"
2/9/2022 16:45,Mission Grocery & Liquor,"2130 Mission St, San Francisco, CA 94110",2/9/2022,Convenience Store,,Yes,1,4.99,3.5,3.99 (half),7.98,,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,1,No,,,,No,,Yes,COVID-19 resources,,,-122.4198045,37.7628801,"2130 mission st, san francisco, ca 94110, usa"
2/9/2022 16:57,Casa Latina Super Market,"3020 16th St, San Francisco, CA 94103",2/9/2022,Grocery Store,,Yes,1,3.49,3.89,5.99,5.99,0.99 (/lbs),0.99,,,2.24 (each),2.24,,,.79 (/lbs),0.79,,,2.49 (/lbs),2.49,,,Yes,Spanish,Hispanic breads,Yes,25-50%,Maybe,Can't tell...,50+,Yes,Yes,"Hispanic/Latinx, Asian",,No,,Yes,COVID-19 resources,,,-122.4201582,37.7652085,"3020 16th st, san francisco, ca 94103, usa"
2/16/2022 12:02,Safeway,"2300 16th St Unit 203, San Francisco, CA 94103",2/16/2022,Supermarket,,Yes,904,5.49,3.99,5.79,5.79,1.49 (/lbs),1.49,2.49 (/lbs),2.49,2.50 (each),2.5,2.37 (each),2.37,.99 (/lbs),0.99,1.50 (/lbs),1.5,2.99 (/lbs),2.99,3.49 (per crown),3.49,No,,,Yes,<10%,Yes,Yes,50+,Yes,No,"Hispanic/Latinx, Asian",,Yes,"Organic Signage, Sustainable Signage",No,,,,-122.4093844,37.7669956,"2300 16th st unit 203, san francisco, ca 94103, usa"
2/16/2022 12:24,New Hampshire Market,"2701 20th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,4.99,,5.69,5.69,2.00 (each),4,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,4,No,,,,Yes,Recycling Program,Yes,COVID-19 resources (Spanish translation),,,-122.408079,37.7591124,"2701 20th st, san francisco, ca 94110, usa"
2/16/2022 12:41,Fresh Start #1,"2633 23rd St, San Francisco, CA 94110",2/16/2022,Grocery Store,,Yes,1,4,3,5,5,.57 (each),1.14,,,1.50 (each),1.5,,,1.00 (per small bag),1,,,3.00 (per bag),3,,,Yes,Spanish,,Yes,25-50%,Maybe,Can't tell...,39,No,,,,No,,Yes,WIC Signage,"Special store designed for WIC (women, infants & children) to have access to food",,-122.406154,37.7542058,"2633 23rd st, san francisco, ca 94110, usa"
2/16/2022 12:51,Walgreens,"1189 Potrero Ave, San Francisco, CA 94110",2/16/2022,Supermarket,,Yes,"9,021",2.79,3.29,4.69,4.69,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,No,,,,-122.4061099,37.7533313,"1189 potrero ave, san francisco, ca 94110, usa"
2/16/2022 12:56,N & V Liquor & Grocery,"2702 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,No,1,4,,5.5,5.5,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,Yes,COVID-19 resources (Spanish translation),,,-122.4066377,37.7530482,"2702 24th st, san francisco, ca 94110, usa"
2/16/2022 13:02,Tony’s Market & Liquor,"2751 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,5.5,6.5,3.99 (half),7.98,,,,,,,3.00 (each),3,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,3,No,,,,No,,Yes,COVID-19 resources (Spanish translation),,,-122.4074748,37.7527332,"2751 24th st, san francisco, ca 94110, usa"
2/16/2022 13:07,Ricci’s Market,"2790 24th St, San Francisco, CA 94110",2/16/2022,Grocery Store,,Yes,1,4.99,4.99,5.99,5.99,,,,,2.49 (each),2.49,,,,,,,,,,,Yes,Spanish,,Yes,<10%,Maybe,Can't tell...,14,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),,,-122.4080016,37.7530386,"2790 24th st, san francisco, ca 94110, usa"
2/16/2022 13:16,Five Markets,"2824 24th St, San Francisco, CA 94110",2/16/2022,Grocery Store,,Yes,1,4.99,6.89,8.99,8.99,1.79 (/lbs),1.79,,,2.49 (each),2.49,2.49 (each),2.49,2.99 (/lbs),2.99,,,3.99 (/lbs),3.99,,,Yes,Spanish,,Yes,10-25%,Yes,Can't tell...,33,No,,,,Yes,"Organic Signage, Sustainable Signage",Yes,"Bus routes, local resources, equity posters",,,-122.4088202,37.753085,"2824 24th st, san francisco, ca 94110, usa"
2/16/2022 13:22,Samy’s Liquors & Groceries,"2847 24th St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,3.99,3,5,5,1.00 (each),2,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,5,No,,,,Yes,Recycling Program,Yes,COVID-19 resources (Spanish translation),,,-122.408964,37.7526963,"2847 24th st, san francisco, ca 94110, usa"
